Table 650-80002 : Visitor arrivals by mode of transport and country/region of residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals,Visitor arrivals
,,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands
By land,"Australia, New Zealand and South Pacific",32,32,35,31,34,34,38,40,39,41,49,51,52,63,73,73,80,64,96,132,143,158,140,144,157,155,145,134,124,116,109,105,108,109,11,§,§
By land,North Asia,107,130,114,70,84,105,137,147,186,241,347,275,196,240,328,369,387,306,432,492,515,535,536,435,537,548,517,480,479,437,403,391,404,418,25,§,§
By land,South and Southeast Asia,82,88,94,84,114,179,257,233,201,212,275,284,243,359,450,503,591,457,673,754,767,768,617,598,702,736,680,630,592,557,509,462,478,568,39,1,3
By land,The mainland of China,271,312,432,441,438,481,607,980,1023,1079,1030,1056,1148,1422,1975,2587,4520,6284,9273,9740,10374,11797,13260,14679,18537,23074,29193,33920,39919,38566,35906,37376,43182,37947,2295,56,76
By land,Taiwan,-,-,224,205,328,345,442,422,358,396,485,508,605,741,923,1000,998,770,828,823,831,867,904,797,824,781,741,707,667,680,647,626,615,553,44,1,4
By land,Macao/Not identified,18,25,6,6,7,8,9,10,12,12,11,17,15,18,22,31,38,33,30,35,39,42,45,47,53,56,56,57,58,58,58,56,198,627,68,2,9
By land,Total,728,851,1184,1041,1230,1419,1831,2196,2169,2322,2560,2568,2632,3266,4254,5047,7166,8350,11969,12768,13550,15153,16418,17624,21863,26426,32362,36911,42809,41378,38568,39937,45935,41125,2546,60,97
Grand total,Total,4053,4917,6167,5985,6581,6795,8011,8938,9331,10200,11703,10406,10160,11328,13059,13725,16566,15537,21811,23359,25251,28169,29507,29591,36030,41921,48615,54299,60839,59308,56655,58472,65148,55913,3569,91,605
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
§ Figure is not released due to relatively insignificant magnitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong Tourism Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For further information, please visit the website of the Hong Kong Tourism Board (www.partnernet.hktb.com).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Enquiry telephone no. : 2807 6543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Enquiry e-mail : research@hktb.com),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: 17 July, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
